system,inmate_tests,total_inmate_cases,total_inmate_deaths,latest_inmate_population,max_inmate_population_2020,total_officer_cases,total_officer_deaths
Alabama,15505,1601,64,19144,21900,1019,3
Alaska,27756,2428,5,5011,5143,85,0
Arizona,43652,12229,44,38248,41674,2739,0
Arkansas,0,11378,52,14729,15886,424,5
California,121207,49511,217,110471,117767,16090,26
Colorado,193165,9389,33,13346,16134,1834,0
Connecticut,73559,4655,19,8839,10500,1571,0
Delaware,12665,2020,13,4562,4562,514,1
Florida,87677,18491,220,83622,96253,6097,7
Georgia,11947,3717,94,47585,52000,1698,4
Hawaii,7791,1432,9,2229,4111,99,0
Idaho,29168,4115,6,7240,7240,387,0
Illinois,477218,10894,86,30771,36910,4383,0
Indiana,20228,3563,39,25476,26877,1571,4
Iowa,44262,4935,19,7399,8519,806,2
Kansas,43391,6202,16,8846,9986,1280,6
Kentucky,26433,7898,48,9969,11563,1084,5
Louisiana,14745,3195,37,13885,31609,925,6
Maine,8246,169,1,1742,2370,45,0
Maryland,65158,4083,28,20269,21632,2168,3
Massachusetts,29016,3018,20,6633,8292,629,0
Michigan,673822,26243,139,34056,34407,3763,3
Minnesota,105390,4042,12,7525,9381,967,0
Mississippi,3433,1470,24,16351,18450,220,0
Missouri,92520,5705,48,23421,32564,2709,6
Montana,0,1148,6,3921,3921,279,0
Nebraska,6776,982,6,5294,5603,511,0
Nevada,12368,4714,53,0,12785,1018,3
New Hampshire,1583,453,3,2077,2466,155,0
New Jersey,251841,4684,53,15046,15283,2121,3
New Mexico,44368,3124,29,5983,5983,895,1
New York,73607,6334,35,40500,40500,4976,8
North Carolina,124617,10066,53,30699,32300,2186,1
North Dakota,32531,639,1,1370,1794,296,1
Ohio,56275,8679,139,44599,47529,4783,11
Oklahoma,30802,7392,38,20484,20484,1043,2
Oregon,24852,3617,42,13577,14351,857,0
Pennsylvania,60831,10191,123,39725,42775,4090,5
Rhode Island,41623,1194,2,2085,2210,322,1
South Carolina,9921,3254,40,15865,17003,953,2
South Dakota,7954,2355,7,3217,3859,190,0
Tennessee,40445,6637,42,19401,20733,1182,2
Texas,479959,34735,206,127814,162000,11895,44
Utah,27053,3443,16,6266,6266,399,0
Vermont,19838,456,0,1368,1397,89,0
Virginia,99317,9056,56,26489,29136,2466,5
Washington,11022,6190,14,14817,15364,1026,2
West Virginia,10778,1576,9,9905,9905,578,2
Wisconsin,97445,10939,26,20210,20212,2129,0
Wyoming,28376,879,3,1840,2040,296,0
Federal Prisons,119449,53996,246,138297,,6746,4
ICE detention centers,101214,10845,9,,,53,0
County jails,460887,108082,113,,,33421,82
U.S. Marshalls,,12290,31,,,,